ID	§	Область	Задача	Разм.	Состояние	Блокер	Источник	Заметка
G2-02	20	Ghoul2	InitGhoul2Model: переносить вместе с проходом по вызывающим	M	открыто		аудит	Попробовано и отыграно назад, стенд поймал регрессию
G2-03	20	Ghoul2	Кэш костей из рендерера в движок	L	открыто		разбор somaz	tr_ghoul2.cpp 5142 -> 2471; брать и выбор «SP-реализация» тоже
SPR-01	23.1	Спрайты	Шестой тип: куст крестом из нескольких квадов	M	открыто	SPR-03	заявка	Делать только вместе с инстансингом, иначе упрётся в tess
SPR-02	23	Спрайты	Передать спрайту его позицию для локального ветра	S	открыто		заявка	Строка на вызов, зоны уже есть
SPR-03	23.3	Спрайты	GPU-инстансинг с генерацией из поверхности	L	открыто		решение	Образец организации — погода somaz (23.2)
SPR-04	23.3	Спрайты	Качание с хэшем от позиции, чтобы поле не качалось в такт	S	открыто		находка 31	Десять строк шейдера, берётся отдельно
SPR-05	23.3	Спрайты	Отталкивание спрайтов игроком	L	открыто	SPR-03	заявка	Нужен канал из геймплея в рендерер
SPR-06	23.3	Графика	Блики (r_flares): в трансплантате не проверялись ни разу	M	открыто		заявка	
VOL-01	43.1	Вода	Soft particles	M	сделано		6a90a58	Полоса smokesoftparticles
VOL-02	43.1	Вода	Вода: нормали, поглощение, пена, преломление, каустика	L	сделано		9606aa0	Пять шагов, полоса smokewater, шесть кадров
VOL-03	43.1	Вода	Отражение в воде	M	открыто	ретейл	решение	Три кандидата; зонд из кубмап-пути на ретейле не работает
VOL-04	43.1	Вода	Валы Герстнера	M	открыто	VOL-06	решение	Только вместе с дроблением водных поверхностей
VOL-13	43.1	Вода	Опознание жидкости по contents шейдерной записи BSP	S	сделано		e9c77f2	Ретейл метит воду там, а не surfaceparm-ом материала
VOL-05	43.2	Вода	Слизь, лава, болото через тот же TYPE_LIQUID	M	открыто	VOL-03	решение	Параметры из .shader, а не из cvar-ов
VOL-06	43.1	Вода	Дробление водных поверхностей на загрузке	M	открыто		решение	Сейчас водный браш — несколько крупных граней
VOL-07	43.3	Погода	Дождь на GPU: симуляция, зоны, ветер, weatherBrushes	M	открыто	VOL-08	находка 31	ЗАЯВКА: дождь есть минимум на двух ретейл-картах
VOL-14	43.3	Погода	Полоса smokeweather + r_we stats	M	сделано		20.08	Подсистема не исполнялась ни разу; 465-485 частиц из 1000
VOL-15	43.3	Погода	ERR_DROP за карту с внутр. и внеш. брашами -> предупреждение	S	сделано		20.08	Умолчание, роняющее уровень, — неверный выбор
VOL-16	43.3	Погода	Текстура частиц: vk_debug -> CL_RefPrintf + defaultImage	S	сделано		20.08	mImage оставался нулевым и уезжал в vk_bind
CI-10	-	Стенд	Сверка списка лейнов local.sh против ci.yml	S	сделано		4091426	Их было семь; tools/ci/check_lanes.py в стадии policy
VOL-08	43.3	Погода	Навес в фикстуре дождя: проверить «снаружи/внутри»	S	открыто		решение	Полоса есть, навеса нет — outside-кэш не проверяется
VOL-09	24.1	Туман	Объёмный туман: светосетка как 3D-текстура + марш в проходе тумана	M	сделано		20.08	Меняет цвет тумана, не его количество; полоса fog, мутация прогнана
VOL-17	24.1	Туман	R_CreateImage3D и depth у image_t	S	сделано		20.08	Первая трёхмерная текстура в рендерере; светосетка как объём
VOL-18	24.1	Туман	vk.hw_fog больше не выводится из r_drawfog==2 при старте	S	сделано		20.08	r_drawfog 0 на старте навсегда оставлял legacy-шейдеры тумана
VOL-19	24.1	Туман	Световые стили в объёме запекаются на загрузке	M	открыто	VOL-09	20.08	Мигающая лампа не мигает в тумане; нужен пересчёт затронутых ячеек
CI-11	-	Стенд	Генератор реестра переехал в репозиторий (tools/backlog)	S	сделано		20.08	Жил в песочнице и погиб с ней; данные в docs/backlog/*.tsv
CI-12	-	Стенд	tga_box_delta.py: сравнение двух областей одного кадра	S	сделано		20.08	Счёт различий не отличает объём от константы; проверено мутацией
VOL-10	24.3	Туман	Опознать и погасить ретейловые «короба» света	S	открыто	VOL-09	решение	Иначе новый свет ляжет поверх старого фальшивого
VOL-11	43.4	Эффекты	Объёмный дым (raymarching по 3D-плотности)	L	открыто	VOL-09	под вопросом	Не читается из .efx; второй тип эмиттера, не замена
VOL-12	43.4	Эффекты	Симуляция огня	L	открыто	VOL-11	под вопросом	Сначала спрайты с эрозией + soft particles: 80% за 5%
FOG-01	36	Туман	Плоскость глобального тумана: hasSurface=true при нулевой surface	S	открыто	железо	дефект	hw_fog делит на неё: 0/0. Нужен прогон с +set r_drawfog 2
PBR-01	28	PBR	Тонмаппинг: цепочка автоэкспозиции + кривая	L	открыто	PBR-02	находка 28	ACES у somaz НЕ подключён; обе кривые в одном файле
PBR-02	28	PBR	Перевести vk.color_format в R16G16B16A16_SFLOAT	L	открыто		решение	Согласовать bloom, dglow, refraction, capture, screenmap
PBR-03	28	PBR	Резолв между сценой и интерфейсом ЛИБО два вложения	M	открыто	PBR-02	решение	Тонмаппинг в gamma.frag прошёлся бы и по меню
PBR-04	28	PBR	R_ColorShiftLightingBytes: отрицательный сдвиг	S	открыто		находка 17	У нас Q_max(0,..), у Quake3e сдвиг вправо
PBR-05	28	PBR	HDR-светосетка и float-лайтмапы	M	открыто	PBR-02	находка 32	Без них запас теряется ещё на загрузке карты
PBR-06	28	PBR	FindLightingStage: запасной лайтмап + перенос флага dlight	S	открыто	ретейл	находка 25	Смотреть глазами, не на фикстуре
PBR-07	28	PBR	Скриншот с железа до всякого тонмаппинга	S	открыто	железо	решение	После правки масштабов запас 7%, а не 30%
FX-01	25	Постобработка	Перенести post-fx стек из cgame в рендерер, дать граф	L	открыто		решение	Сейчас размазан по cgame
FX-02	25	Постобработка	Буфер скоростей (velocity)	M	открыто	FX-01	находка 30	Окупается четырежды: TAA, темпоральный SMAA, туман, motion blur
FX-03	25	Постобработка	DoF	M	открыто	FX-01	заявка	Глубина уже есть
FX-04	25	Постобработка	Motion blur	M	открыто	FX-02	заявка	Выключаемым и с консервативными умолчаниями
FX-05	25	Постобработка	SSAO	M	открыто	FX-01	находка 30	ssao.glsl + depthblur.glsl у somaz
FX-06	25	Постобработка	SMAA (+ темпоральный)	M	открыто	FX-02	находка 30	Четыре шейдера, r_smaa, r_smaa_quality
FX-07	25	Постобработка	Боке-DOF	M	открыто	FX-03	находка 30	
FX-08	28	Постобработка	Блум по схеме CoD:AW	S	открыто		обзор	13-тапный даунсэмпл; при переносе чинить опечатку в ядре
FX-09	28	Постобработка	Хроматическая аберрация, радиальная	S	открыто	PBR-01	заявка 19.08	Дисперсия линзы, а не равномерный сдвиг каналов: в центре кадра нуль, к краям растёт. Ставить ПОСЛЕДНЕЙ - на LDR без тонмаппинга даёт замыленную плоскую картинку
FX-10	28	Постобработка	Виньетка и зерно как часть слоя объектива	S	открыто	FX-09	заявка 19.08	Те же артефакты стекла и плёнки, что и аберрация; в движках это одна группа настроек
SHD-01	тени	Тени	Цель vk.shadowMap: только глубина, рядом со screenMap	M	открыто		решение	Стадия 1 из 5
SHD-02	тени	Тени	Заполнение: вид от источника, RB_SubmitDrawSurfs в depth-only	M	открыто	SHD-01	решение	Стадия 2
SHD-03	тени	Тени	Сэмплирование: матрица в u_global, множитель в light_frag	M	открыто	SHD-02	решение	Стадия 3, наблюдаемое точное
SHD-04	тени	Тени	Качество: PCF, смещение вдоль нормали	M	открыто	SHD-03	решение	Стадия 4
SHD-05	тени	Тени	Всенаправленные источники: куб	M	открыто	SHD-04	решение	Стадия 5, на машинерии префильтра
SHD-06	тени	Тени	Убрать три старые техники (cg_shadows 1/2/3, tr_shadows.cpp)	M	открыто	SHD-04	решение	Замена УБИРАЕТ машинерию, а не добавляет четвёртую
SHD-07	тени	Тени	Тени от солнца (CSM)	L	открыто	SHD-05	находка 29	JKA интерьерная, солнце в коридоре не даёт ничего
STR-01	39	Гейты	Разбор sprintf/strncpy/strncat по месту (110 вызовов)	M	открыто		ратчет	Счётчик может только уменьшаться
STR-02	39	Гейты	Вернуть предупреждения материалов на настоящий путь печати	M	открыто		находка 1	120 сообщений из tr_shader.cpp компилируются в ничто
STR-03	39	Гейты	check_diagnostics.py: vk_debug с WARNING/ERROR — ошибка сборки	S	открыто	STR-02	находка 1	Ратчет, как check_strings.py
MTH-01	40	Типы	vec3_t как struct с операторами и static_assert	L	открыто		решение	Обратимо по данным, необратимо по коду
MTH-02	40	Типы	Снятие макросов по одному, со сверкой стрипнутых бинарников	L	открыто	MTH-01	решение	
MTH-03	40.1	Типы	R_InitFogTable: pow вместо powf	S	открыто		находка 9	Второй случай той же болезни, что atan2/atan2f
MTH-04	-	Типы	Ослабленные типы: const у RB_AddQuadStamp, qboolean у R_Merged*Points	S	открыто		находка 10	В Phase2-TypeAudit
SND-01	42	Звук	Второй звуковой бэкенд (OpenAL)	L	открыто		решение	Это не «взять файл из ioq3», а написать второй микшер
GEO-01	44.3	Геометрия	r_subdivisions 1 на живой карте, посмотреть	S	открыто	железо	решение	Ни правки карт, ни строки кода
GEO-02	44.1	Геометрия	Проход по общим рёбрам с углом сглаживания	L	открыто	GEO-01	решение	Нужно построение соседства вершин на загрузке
GEO-03	44.5	Геометрия	Нормалмаппинг и параллакс	M	открыто		находка 32	r_parallaxMapping + r_forceParallaxBias у somaz
GEO-04	44.3	Геометрия	MAX_GRID_SIZE 65 -> 129	S	открыто	измерить	находка 26	У них качели; но как ПРОВЕРКА размера патча нужна независимо
LDR-01	45.3	Загрузчики	Проверки целостности BSP: 10 мест	L	открыто		находка 18	Крупнейшая невыполненная часть §45. Работа, не исследование
LDR-02	45.3	Загрузчики	R_inPVS: проверка cluster<0 на обе точки	S	открыто		находка 21	-1>>3 == -1, чтение до начала буфера
LDR-03	45.3	Загрузчики	novis: добавить >>3	S	открыто		находка 22	PAD(numClusters,64) — это биты, а выделяем байты
LDR-04	45.4	Загрузчики	Заголовок MD3: передать fileSize и сверить смещения	M	открыто		находка 19	Сейчас проверить нечем в принципе
LDR-05	45.4	Загрузчики	Регистрация LOD-ов MD3: снизу вверх + COM_StripExtension	S	открыто		находка 20	ДВА экземпляра функции: tr_model.cpp:67 и :641
LDR-06	45.5	Загрузчики	Q_atof вместо atof (212 вызовов, 75 в tr_shader.cpp)	M	открыто		находка 16	1e999 кладёт не-конечное в wave->amplitude; проверки против NaN молча ложны
LDR-07	45.5	Загрузчики	MDXM/MDXA: поповерхностная проверка	M	открыто		решение	Смещения от начала массива, а не от файла
LDR-08	45.5	Загрузчики	pack_t: один unzFile на архив	M	открыто		решение	Два файла из одного pk3 портят друг другу поток zip
PHY-01	46.2	Физика	Инструмент: писать ps.origin каждый серверный кадр изнутри игры	S	открыто		решение	Без него «стало лучше» не доказать
PHY-02	46.2	Физика	Фиксированный шаг pmove с переносом остатка	M	открыто	PHY-01	решение	Апекс прыжка 44-49 против 53-55 — расхождение измерено
PHY-03	46.2	Физика	Снять пришпиливание камеры в полосе prepass	S	открыто	PHY-02	решение	Посмотреть, вернулся ли флейк
AI-01	47	AI	Научить стенд ставить NPC и вести его к точке	M	открыто		решение	Сначала измерить, где именно NPC теряет путь
AI-02	47	AI	Разобраться: граф или исполнение маршрута	L	открыто	AI-01	заявка	Разные причины и разные лекарства
AI-03	47	AI	d_altRoutes и d_patched живут только в JK2	S	открыто		§6	Навигация уже расходится умолчаниями между играми
WLD-01	48	Мир	Hi-Z окклюзия в рантайме	L	открыто		решение	PVS отвечает «потенциально», Hi-Z — «сейчас закрыто»
WLD-02	48	Мир	Слияние поверхностей в кластеры + indirect	L	открыто	WLD-01	решение	На открытой сцене упираемся в CPU, не в пиксели
WLD-03	48	Мир	r_mergeLightmaps — атласы лайтмапов	L	открыто		находка 3	Шесть готовых функций у Quake3e, включено по умолчанию
WLD-04	48	Мир	r_mergeLeafSurfaces / r_mergeMultidraws	M	открыто	WLD-02	находка 32	Про то же самое, лицензия совместима
WLD-05	48	Мир	Грубый LOD дальних кластеров	L	открыто	WLD-02	решение	Не стриминг: вторая версия геометрии за ~4000 юнитов
HW-01	-	Краши	Краш vid_restart на железе — третий заход, ждём проверки	M	открыто	железо	дефект	Прислать qconsole.log, vk_log.log, jkx_crash.txt
HW-02	-	Краши	USE_UPLOAD_QUEUE: собрать вариант без очереди и дать проверить	S	открыто	HW-01	находка 23	Quake3e выключил её как ненадёжную; у нас включена
HW-03	-	Краши	Проверить версию драйвера Intel по логу	S	снято		логи 19.08	НЕПРИМЕНИМО: у пользователя RTX 3070, драйвер 610.74
HW-04	-	Краши	Сборка без очереди загрузки как рычаг под краш vid_restart	S	ждёт железа	HW-01	находка 23	JKX_NO_UPLOAD_QUEUE=ON; ветка чинилась, стадия variants в CI
HW-04	-	Инструменты	r_externalGLSL: грузить шейдеры с диска	M	открыто		находка 32	Не перегенерировать SPIR-V ради строки в шейдере
JOB-01	ф3	Ядро	Job system: планировщик, work-stealing deque, dispatch/wait	L	открыто		роадмап §4	Без std::function и без аллокаций в горячем пути; главный поток тоже воркер
JOB-02	ф3	Ghoul2	Распараллелить bone-стадию Ghoul2	L	открыто	JOB-01,JOB-03	роадмап §4	G2_TransformGhoulBones по энтити независимы, 0.3-0.6 мс на 8-10 NPC
JOB-03	ф3	Ghoul2	Расшить ragdoll-блокеры под многопоточность	L	открыто		роадмап §4	static ragBones[256]/ragEffectors[256]/numRags в G2_bones.cpp; ri.SV_Trace из рендерера; глобал HackadelicOnClient
JOB-04	ф3	Ядро	Параллельная загрузка ассетов: mip-цепочки, тангенты, декомпрессия	L	открыто	JOB-01	роадмап §4	Сейчас загрузка карты полностью блокирующая
MEM-01	ф3	Ядро	Арены с областями жизни: permanent / level / frame[2] + Pool<T>	XL	открыто		роадмап §8.1	Hunk_Alloc объявлен и нигде не определён; Z_TagFree - линейный проход по глобальному списку
MEM-02	ф3	Ядро	Z_Malloc должен уважать параметр выравнивания	S	открыто		роадмап §8.1	Сейчас int /*unusedAlign*/ игнорируется при глобальном -msse2. Плюс убрать Sys_Sleep(1000) из аварийного пути
VFS-01	ф3	Ядро	VFS поверх job system: async-чтение, декомпрессия в воркерах	XL	открыто	JOB-01	роадмап §8.3	Ноль вхождений aio_*/io_uring/OVERLAPPED/mmap. FS_ReadFile зовёт S_ClearSoundBuffer, чтобы звук не заикался - это диагноз
VFS-02	ф3	Ядро	Офлайн-компиляция ассетов в .jkpak	L	открыто	VFS-01	роадмап §8.3	Опционально. Побочный эффект - валидация контента на этапе сборки. Исходные pk3 обязаны читаться всегда
RG-01	ф4	Рендер	Каркас render graph: Builder, addPass, compile, execute	XL	открыто		роадмап §3.3	Топосорт, время жизни, алиасинг транзиентов, вывод барьеров из объявленных read/write
RG-02	ф4	Рендер	Dynamic rendering: 29 VkRenderPass + 44 framebuffer в граф	XL	открыто	RG-01	роадмап §3.3	Трекер layout-ов - это и есть половина графа, поэтому делать сразу графом, а не в два захода
RG-03	ф4	Рендер	Убрать 32 ручных сайта record_image_layout_transition	L	открыто	RG-02	роадмап §3.3	Единственный надёжный способ не закрепить существующие скрытые гонки при переходе на sync2
RG-04	ф4	Рендер	Алиасинг транзиентных ресурсов	L	открыто	RG-01	роадмап §3.3	bloom_image, dglow_image, refraction_extract, screenMap, capture живут постоянно, а нужны 2-3 прохода
RG-05	ф4	Рендер	Async compute ноды	L	открыто	RG-01	роадмап §3.3	Симуляция частиц, генерация нормалмапов, бейк IBL
RG-06	ф4	Рендер	MT-запись командных буферов	L	открыто	RG-01,JOB-01	роадмап §3.3	Граф знает независимые ветки. DrawItem/Pass из pbr - готовый задел
RG-07	ф4	Рендер	Timeline semaphores: один на очередь, монотонный счётчик кадров	L	открыто		роадмап §3.4	Заменяет fence + image_acquired + swapchain_rendering_finished + rendering_finished2 + aux_fence
RG-08	ф4	Рендер	Убрать vkQueueWaitIdle из vk_end_command_buffer	M	открыто	RG-07	роадмап §3.4	Сейчас на КАЖДОЙ одноразовой операции: аттачмент, текстура, кубмап. Заметно ускорит загрузку карты
RG-09	ф4	Рендер	Layered cubemap-бейк через viewMask вместо geometry shader	M	открыто	RG-02	роадмап §3.3	Шесть граней за проход без GS, filtercube.geom уходит
BND-01	ф5	Рендер	Bindless-текстуры: массивы sampler2D/samplerCube, индексы в SSBO	XL	открыто	RG-01	роадмап §3.5	Чинит FIX-04: на maxBoundDescriptorSets < 11 весь PBR молча выключается. 10 сетов на draw -> 2
BND-02	ф5	Рендер	Сокращение перестановок шейдеров 600 -> ~25 через spec-constants	L	открыто	BND-01	роадмап §3.2	fog/env/cl -> ~135, +light -> ~55, +bindless -> ~25
BND-03	ф5	Рендер	EDS3 + сжатие ключа пайплайна	L	открыто	BND-02	роадмап §3.6	~800-1500 объектов -> ~60-100. Обязателен fallback: EDS3 не core в 1.3, поддержка пофичевая
MIG-01	ф6	Миграция	Underwater pass: warp, поглощение по глубине, каустика, ватерлиния	L	открыто	FX-01	роадмап §5.1	Сейчас это ±1° синус на FOV плюс fullscreen FillRect. viewContents в refdef_t есть и рендерером не читается
MIG-02	ф6	Миграция	Декали в рендерер как кластеризованные объёмы	L	открыто	FX-01	роадмап §5.4	cg_marks.cpp: 256 марок, до 2560 вершин, переписываемых на CPU каждый кадр
MIG-03	ф6	Миграция	Lightstyles и анимация dlight в рендерер	M	открыто		роадмап §5.5	Убирает 64 вызова в кадр, код наполовину уже в рендерере
MIG-04	ф6	Миграция	Сабля -> RT_SABER: клинки, core, glow, dlight, trail	XL	открыто	MIG-06	роадмап §5.5	Убирает new CTrail каждые 2 мс и рендер-состояние saberTrail_t из playerState_t, то есть из сейва
MIG-05	ф6	Миграция	Skybox-портал -> view-нода графа	L	открыто	RG-01	роадмап §5.5	Убирает парсинг конфигстринга каждый кадр
MIG-06	ф6	Миграция	CBezier/CTrail/CPoly -> renderer reTypes	L	открыто		роадмап §5.5	Последние AddPolyToScene из FX. Образец есть - RB_SurfaceElectricity
MIG-07	ф6	Миграция	Force Sight / LA Goggles -> проходы	L	открыто	FX-01	роадмап §5.5	Outline через stencil вместо второго прохода геометрии
MIG-08	ф6	Миграция	Disintegrate / Cloak / Distortion -> entity-effect API	L	открыто	FX-01	роадмап §5.5	Убирает выбор размера render-target из геймкода
MIG-09	ф6	Миграция	Тени: политика из cgame в рендерер	M	открыто	SHD-03	роадмап §5.5	cg_shadows перестаёт решать, будет ли всплеск на воде
MIG-10	ф6	Миграция	Screen shake -> camera modifier	M	открыто		роадмап §5.5	Нужен для motion blur: скорость камеры
MIG-11	ф6	Миграция	Стекло и обломки	L	открыто	GPU-01	роадмап §5.5	После GPU-частиц
MIG-12	ф6	Миграция	2D-слой -> aspect-aware immediate UI	L	открыто	UI-01	роадмап §5.5	Виртуальные 640x480 ломают маски на широких экранах
GPU-01	ф7	Частицы	GPU Particle System: Emit/Simulate/CullSort CS + DrawIndirect	XL	открыто	RG-05,MIG-06	роадмап §5.3	1200 частиц -> 100k+. Каждый CEffect держит refEntity_t inline и аллоцируется отдельным new
GPU-02	ф7	Частицы	Кривые размера/цвета/альфы/вращения в 1D-LUT	M	открыто	GPU-01	роадмап §5.3	Пять типов кривых по ~70 строк switch с sin/cos на частицу
GPU-03	ф7	Частицы	G2API_GetBoltMatrix: одна на эмиттер, а не на частицу	M	открыто	GPU-01	роадмап §5.3	FxSystem.cpp:190. Для эффекта из 50 частиц - 50 запросов болт-матрицы в кадр
GPU-04	ф7	Частицы	CBezier: static vec3_t lastEnd[2] внутри метода класса	S	открыто		роадмап §5.3	Два одновременных безье гарантированно портят друг другу шов
GPU-05	ф7	Частицы	MAX_POLYS 2048: при переполнении молча дропает	S	открыто		роадмап §5.3	Комментарий в коде: happens a lot with high fighting scenes and particles
IBL-01	ф8	PBR	Diffuse IBL: подключить VK_DESC_PBR_IRRADIANCE	M	открыто		роадмап §6	Бейк ГОТОВ (64², RGBA32F, 7 мипов), биндинг закомментирован в global.h:40. Главный визуальный разрыв PBR-режима
IBL-02	ф8	PBR	Кэш IBL-бейка на диск (.ktx2 рядом с env.json)	L	открыто	IBL-01	роадмап §6	При 128 пробах бейк - 768 полноценных прогонов сцены на загрузке карты. Свёртка детерминирована
IBL-03	ф8	PBR	Баг: пробы с индексом >= 64 берут чужое окружение	S	открыто		роадмап §6	R_RenderAllCubemaps берёт MIN(numCubemaps,128), а QSORT_CUBEMAP_BITS = 6 - в ключ влезает только 63
CLF-01	ф8	Свет	Clustered Forward+: свет и декали в кластерах	XL	открыто	RG-01	роадмап §1	JKA - лес alpha-blended поверхностей, deferred противопоказан. Заготовка: CalcDynamicLightContribution в pbr.glsl
PBR-08	ф8	PBR	Multiscatter GGX energy compensation (Fdez-Aguera)	S	открыто		роадмап §7	~50 строк
PBR-11	ф8	PBR	Wrapped diffuse: (NdotL + w) / (1 + w), параметром материала	S	открыто		решение 19.08	Даёт заворот света за терминатор без новых карт и без отдельного прохода. Это НЕ SSS, но 80% его читаемого эффекта
PBR-12	ф8	PBR	Subsurface scattering для нового контента	L	открыто	PBR-02,FX-01	решение 19.08	На ретейле бессмысленно: освещение запечено в diffuse, карт толщины нет, головы низкополигональные. Смысл появляется только с .mtr от автора ремастера - та же развилка, что r_pbr 0/1
PBR-09	ф8	PBR	Diff_Burley (Disney 2012) - написан у соседей, не вызывается	S	открыто		роадмап §7	Час работы
